iter	Passed	Remaining
404	8148	11971
405	8164	11945
406	8183	11922
407	8199	11896
408	8217	11873
409	8234	11849
410	8253	11828
411	8271	11804
412	8290	11783
413	8312	11766
414	8330	11743
415	8348	11720
416	8366	11697
417	8383	11672
418	8400	11647
419	8417	11623
420	8433	11598
421	8452	11577
422	8472	11556
423	8488	11531
424	8506	11508
425	8527	11489
426	8546	11468
427	8564	11446
428	8581	11422
429	8599	11399
430	8616	11375
431	8632	11350
432	8650	11327
433	8671	11308
434	8692	11289
435	8712	11269
436	8731	11248
437	8748	11225
438	8765	11201
439	8784	11179
440	8801	11156
441	8818	11133
442	8835	11109
443	8852	11085
444	8869	11061
445	8887	11039
446	8906	11018
447	8926	10998
448	8944	10976
449	8961	10952
450	8980	10931
451	9000	10911
452	9017	10888
453	9035	10866
454	9055	10846
455	9072	10823
456	9090	10800
457	9108	10779
458	9125	10755
459	9141	10731
460	9161	10711
461	9177	10687
462	9199	10669
463	9219	10650
464	9240	10631
465	9257	10607
466	9277	10589
467	9295	10566
468	9312	10543
469	9329	10520
470	9346	10497
471	9363	10474
472	9381	10452
473	9402	10433
474	9417	10408
475	9437	10388
476	9454	10366
477	9470	10342
478	9488	10320
479	9508	10301
480	9527	10280
481	9547	10260
482	9564	10237
483	9583	10217
484	9599	10193
485	9621	10175
486	9638	10152
487	9658	10133
488	9674	10109
489	9692	10088
490	9709	10065
491	9730	10046
492	9748	10025
493	9773	10011
494	9790	9988
495	9811	9969
496	9829	9948
497	9849	9928
498	9866	9905
499	9882	9882
500	9903	9864
501	9922	9842
502	9937	9818
503	9952	9794
504	9971	9773
505	9989	9752
506	10007	9730
507	10023	9708
508	10040	9685
509	10062	9668
510	10084	9650
511	10101	9628
512	10120	9607
513	10141	9589
514	10159	9567
515	10179	9547
516	10197	9526
517	10223	9513
518	10242	9492
519	10262	9472
520	10282	9453
521	10298	9430
522	10319	9411
523	10336	9389
524	10355	9369
525	10375	9349
526	10390	9326
527	10408	9304
528	10424	9281
529	10443	9261
530	10460	9239
531	10476	9216
532	10496	9196
533	10512	9173
534	10530	9152
535	10547	9131
536	10564	9108
537	10581	9086
538	10596	9063
539	10615	9042
540	10637	9024
541	10653	9002
542	10670	8980
543	10687	8959
544	10704	8936
545	10721	8914
546	10741	8895
547	10757	8872
548	10773	8850
549	10789	8828
550	10812	8811
551	10829	8788
552	10845	8766
553	10862	8745
554	10881	8724
555	10899	8703
556	10916	8682
557	10936	8663
558	10955	8643
559	10974	8622
560	10993	8602
561	11009	8580
562	11029	8560
563	11044	8538
564	11068	8521
565	11088	8502
566	11104	8479
567	11122	8459
568	11138	8437
569	11154	8414
570	11170	8392
571	11187	8371
572	11207	8351
573	11223	8329
574	11239	8307
575	11256	8286
576	11275	8265
577	11294	8246
578	11311	8224
579	11330	8204
580	11346	8182
581	11364	8161
582	11380	8139
583	11397	8118
584	11414	8097
585	11432	8077
586	11449	8055
587	11466	8034
588	11485	8014
589	11502	7993
590	11522	7974
591	11540	7953
592	11558	7932
593	11574	7911
594	11590	7889
595	11609	7869
596	11628	7849
597	11644	7827
598	11663	7807
599	11683	7789
600	11703	7769
601	11720	7748
602	11738	7728
603	11756	7707
604	11776	7688
605	11796	7669
606	11812	7648
607	11828	7626
608	11844	7604
609	11860	7582
610	11876	7561
611	11892	7539
612	11911	7520
613	11930	7500
614	11945	7478
615	11961	7456
616	11980	7436
617	11999	7417
618	12016	7396
619	12033	7375
620	12050	7354
621	12068	7334
622	12085	7313
623	12102	7292
624	12119	7271
625	12136	7250
626	12155	7231
627	12173	7211
628	12194	7192
629	12211	7171
630	12230	7152
631	12250	7133
632	12266	7111
633	12282	7090
634	12298	7068
635	12314	7048
636	12336	7029
637	12354	7009
638	12371	6989
639	12388	6968
640	12409	6950
641	12425	6929
642	12442	6907
643	12458	6887
644	12475	6866
645	12491	6845
646	12510	6825
647	12529	6805
648	12549	6787
649	12565	6765
650	12583	6746
651	12601	6726
652	12619	6706
653	12635	6684
654	12651	6663
655	12669	6643
656	12687	6623
657	12705	6603
658	12723	6583
659	12742	6564
660	12766	6547
661	12785	6527
662	12804	6508
663	12823	6489
664	12842	6469
665	12861	6449
666	12878	6429
667	12894	6408
668	12910	6387
669	12928	6367
670	12945	6347
671	12963	6327
672	12980	6306
673	12996	6285
674	13013	6265
675	13036	6248
676	13055	6228
677	13073	6208
678	13088	6187
679	13107	6168
680	13124	6147
681	13142	6127
682	13158	6107
683	13175	6086
684	13197	6069
685	13215	6048
686	13233	6029
687	13252	6009
688	13268	5989
689	13288	5970
690	13306	5950
691	13325	5930
692	13342	5910
693	13358	5889
694	13373	5869
695	13391	5848
696	13410	5829
697	13426	5809
698	13443	5789
699	13460	5768
700	13476	5748
701	13494	5728
702	13510	5707
703	13533	5690
704	13549	5669
705	13567	5649
706	13584	5629
707	13601	5609
708	13622	5591
709	13638	5570
710	13658	5551
711	13676	5531
712	13692	5511
713	13708	5491
714	13728	5472
715	13749	5453
716	13765	5433
717	13780	5412
718	13797	5392
719	13815	5372
720	13833	5352
721	13853	5334
722	13871	5314
723	13888	5294
724	13905	5274
725	13921	5254
726	13939	5234
727	13958	5215
728	13974	5194
729	13990	5174
730	14007	5154
731	14026	5135
732	14043	5115
733	14060	5095
734	14077	5075
735	14094	5055
736	14111	5035
737	14127	5015
738	14145	4995
739	14161	4975
740	14177	4955
741	14193	4935
742	14210	4915
743	14231	4896
744	14250	4877
745	14265	4857
746	14286	4838
747	14303	4818
748	14320	4799
749	14337	4779
750	14354	4759
751	14371	4739
752	14387	4719
753	14402	4699
754	14420	4679
755	14440	4660
756	14459	4641
757	14479	4622
758	14497	4603
759	14514	4583
760	14534	4564
761	14551	4544
762	14567	4524
763	14583	4504
764	14599	4484
765	14617	4465
766	14635	4446
767	14655	4427
768	14670	4407
769	14689	4387
770	14712	4369
771	14731	4350
772	14748	4331
773	14765	4311
774	14786	4292
775	14801	4272
776	14820	4253
777	14838	4234
778	14857	4215
779	14875	4195
780	14893	4176
781	14910	4156
782	14929	4137
783	14945	4117
784	14961	4097
785	14977	4077
786	14993	4057
787	15011	4038
788	15028	4019
789	15049	4000
790	15065	3980
791	15083	3961
792	15099	3941
793	15117	3922
794	15133	3902
795	15150	3882
796	15167	3863
797	15183	3843
798	15200	3823
799	15219	3804
800	15234	3784
801	15250	3765
802	15267	3745
803	15286	3726
804	15303	3706
805	15318	3687
806	15334	3667
807	15351	3647
808	15369	3628
809	15386	3609
810	15402	3589
811	15418	3569
812	15434	3550
813	15451	3530
814	15470	3511
815	15490	3493
816	15506	3473
817	15523	3453
818	15539	3434
819	15556	3414
820	15577	3396
821	15593	3376
822	15612	3357
823	15632	3339
824	15650	3319
825	15666	3300
826	15682	3280
827	15704	3262
828	15722	3243
829	15740	3223
830	15757	3204
831	15777	3185
832	15794	3166
833	15812	3147
834	15828	3127
835	15845	3108
836	15862	3089
837	15878	3069
838	15894	3050
839	15913	3031
840	15930	3011
841	15946	2992
842	15962	2972
843	15983	2954
844	16003	2935
845	16019	2916
846	16036	2896
847	16055	2877
848	16071	2858
849	16088	2839
850	16106	2820
851	16124	2800
852	16140	2781
853	16157	2762
854	16174	2743
855	16192	2723
856	16212	2705
857	16229	2686
858	16246	2666
859	16264	2647
860	16282	2628
861	16298	2609
862	16316	2590
863	16335	2571
864	16352	2552
865	16369	2532
866	16385	2513
867	16401	2494
868	16418	2475
869	16439	2456
870	16458	2437
871	16477	2418
872	16494	2399
873	16518	2381
874	16536	2362
875	16555	2343
876	16571	2324
877	16588	2305
878	16608	2286
879	16624	2266
880	16641	2247
881	16661	2229
882	16677	2209
883	16693	2190
884	16710	2171
885	16733	2153
886	16750	2133
887	16766	2114
888	16785	2095
889	16806	2077
890	16822	2057
891	16838	2038
892	16856	2019
893	16873	2000
894	16888	1981
895	16906	1962
896	16928	1943
897	16944	1924
898	16960	1905
899	16978	1886
900	16994	1867
901	17010	1848
902	17027	1829
903	17044	1810
904	17060	1790
905	17077	1771
906	17096	1753
907	17114	1734
908	17131	1715
909	17148	1696
910	17167	1677
911	17183	1658
912	17200	1639
913	17216	1619
914	17233	1600
915	17249	1581
916	17265	1562
917	17284	1543
918	17301	1524
919	17323	1506
920	17340	1487
921	17359	1468
922	17375	1449
923	17393	1430
924	17413	1411
925	17432	1393
926	17448	1374
927	17466	1355
928	17482	1336
929	17498	1317
930	17517	1298
931	17533	1279
932	17550	1260
933	17567	1241
934	17584	1222
935	17606	1203
936	17623	1184
937	17639	1165
938	17657	1147
939	17673	1128
940	17689	1109
941	17705	1090
942	17723	1071
943	17739	1052
944	17757	1033
945	17775	1014
946	17791	995
947	17807	976
948	17822	957
949	17840	938
950	17861	920
951	17878	901
952	17895	882
953	17916	863
954	17932	844
955	17949	826
956	17966	807
957	17984	788
958	18001	769
959	18019	750
960	18037	732
961	18057	713
962	18074	694
963	18091	675
964	18112	656
965	18129	638
966	18146	619
967	18164	600
968	18180	581
969	18199	562
970	18218	544
971	18236	525
972	18254	506
973	18271	487
974	18287	468
975	18307	450
976	18323	431
977	18344	412
978	18364	393
979	18381	375
980	18397	356
981	18414	337
982	18433	318
983	18451	300
984	18467	281
985	18484	262
986	18503	243
987	18521	224
988	18539	206
989	18556	187
990	18575	168
991	18593	149
992	18609	131
993	18626	112
994	18643	93
995	18659	74
996	18676	56
997	18692	37
998	18709	18
999	18725	0
