iter	Logloss
339	0.1252481783
340	0.1252443512
341	0.1252418127
342	0.1252391583
343	0.1252383594
344	0.125234906
345	0.1252325093
346	0.1252306409
347	0.1252291203
348	0.1252269427
349	0.1252256799
350	0.1252221492
351	0.1252212214
352	0.1252195849
353	0.1252164408
354	0.125214624
355	0.1252106294
356	0.1252073307
357	0.1252053463
358	0.1252017898
359	0.1251968804
360	0.1251938522
361	0.1251928729
362	0.125191288
363	0.1251894196
364	0.125186778
365	0.1251847034
366	0.125182152
367	0.1251789177
368	0.1251780415
369	0.1251765339
370	0.1251726939
371	0.1251711219
372	0.1251690731
373	0.1251671273
374	0.1251634936
375	0.1251608778
376	0.1251586872
377	0.1251540612
378	0.1251512264
379	0.1251491002
380	0.1251469612
381	0.125144397
382	0.1251428765
383	0.1251407374
384	0.12513481
385	0.1251336117
386	0.1251321427
387	0.1251295913
388	0.1251281739
389	0.1251258158
390	0.1251226073
391	0.1251191797
392	0.125116667
393	0.1251145795
394	0.1251123761
395	0.1251099793
396	0.1251077501
397	0.1251008562
398	0.1251002377
399	0.1250959081
400	0.1250933954
401	0.1250899163
402	0.1250880479
403	0.1250870815
404	0.1250843239
405	0.1250827519
406	0.1250800716
407	0.1250788217
408	0.1250753684
409	0.1250732551
410	0.1250695183
411	0.1250682684
412	0.1250656912
413	0.1250606658
414	0.12505805
415	0.125057148
416	0.1250548544
417	0.1250533467
418	0.1250502928
419	0.1250485661
420	0.1250468523
421	0.1250440046
422	0.1250402162
423	0.125037871
424	0.1250359897
425	0.1250316086
426	0.1250295726
427	0.1250268409
428	0.1250261322
429	0.1250244184
430	0.1250187744
431	0.1250181817
432	0.1250167385
433	0.1250115971
434	0.1250093421
435	0.1250034276
436	0.1250013917
437	0.1249990078
438	0.1249965338
439	0.1249940984
440	0.1249930933
441	0.1249910831
442	0.1249898332
443	0.1249886606
444	0.1249873076
445	0.1249854649
446	0.1249829265
447	0.1249811354
448	0.1249797695
449	0.1249782619
450	0.1249749373
451	0.1249713294
452	0.124970131
453	0.1249668065
454	0.1249645644
455	0.1249636753
456	0.1249623094
457	0.1249598998
458	0.1249585596
459	0.1249577607
460	0.1249525936
461	0.1249517045
462	0.1249485732
463	0.1249455966
464	0.1249424912
465	0.1249415248
466	0.1249392182
467	0.1249368601
468	0.1249350819
469	0.1249332908
470	0.1249320151
471	0.1249297215
472	0.1249287293
473	0.124924593
474	0.1249242708
475	0.124922673
476	0.1249223895
477	0.1249209206
478	0.1249193098
479	0.1249156374
480	0.1249152251
481	0.1249136659
482	0.1249112692
483	0.1249099806
484	0.1249085503
485	0.1249047877
486	0.1249027646
487	0.1249014889
488	0.1249006127
489	0.1248974042
490	0.1248962445
491	0.1248936545
492	0.1248915025
493	0.1248877915
494	0.12488649
495	0.1248833588
496	0.124880743
497	0.1248769933
498	0.1248756145
499	0.1248748027
500	0.1248729214
501	0.1248702412
502	0.1248698288
503	0.1248695067
504	0.1248666589
505	0.1248646101
506	0.1248629736
507	0.1248616593
508	0.1248598424
509	0.1248574972
510	0.1248546624
511	0.1248532836
512	0.1248523429
513	0.1248500364
514	0.1248488767
515	0.1248449595
516	0.1248433745
517	0.1248396763
518	0.1248377306
519	0.1248342901
520	0.1248322671
521	0.1248313006
522	0.1248284787
523	0.1248270741
524	0.1248242264
525	0.1248218554
526	0.1248205282
527	0.1248194329
528	0.1248185438
529	0.1248179253
530	0.124816946
531	0.1248162244
532	0.124813222
533	0.1248106706
534	0.1248082224
535	0.124806238
536	0.1248042149
537	0.1248025011
538	0.1248020115
539	0.124800594
540	0.1247976174
541	0.1247964835
542	0.1247955429
543	0.1247945635
544	0.1247927209
545	0.1247899634
546	0.1247878888
547	0.1247865744
548	0.124785273
549	0.1247841133
550	0.1247823866
551	0.124781214
552	0.1247790878
553	0.1247767684
554	0.124774668
555	0.1247727738
556	0.1247713564
557	0.1247671943
558	0.1247651455
559	0.1247614473
560	0.1247610092
561	0.1247594887
562	0.1247577491
563	0.124756641
564	0.1247546179
565	0.1247524531
566	0.1247522083
567	0.1247502883
568	0.1247486776
569	0.1247476597
570	0.1247466803
571	0.1247451212
572	0.1247429177
573	0.1247413586
574	0.1247403792
575	0.1247389876
576	0.1247385624
577	0.1247377634
578	0.1247371192
579	0.1247350703
580	0.124734323
581	0.1247327509
582	0.1247314366
583	0.1247297614
584	0.1247281507
585	0.1247262952
586	0.1247248262
587	0.1247240273
588	0.1247186153
589	0.1247175587
590	0.1247152393
591	0.1247128039
592	0.1247121467
593	0.1247113478
594	0.1247103298
595	0.1247092345
596	0.1247081908
597	0.1247071857
598	0.1247050467
599	0.1247038226
600	0.1247013872
601	0.1247002274
602	0.1246986167
603	0.1246973024
604	0.1246952149
605	0.1246941325
606	0.1246921739
607	0.1246907307
608	0.1246900864
609	0.1246890298
610	0.1246871871
611	0.1246865557
612	0.1246838369
613	0.1246825354
614	0.1246817494
615	0.1246799712
616	0.1246775358
617	0.1246749715
618	0.1246738762
619	0.1246727036
620	0.1246714279
621	0.1246699332
622	0.1246681292
623	0.1246668406
624	0.1246655907
625	0.1246652042
626	0.1246640187
627	0.1246626786
628	0.12465947
629	0.1246574599
630	0.1246536199
631	0.1246510814
632	0.1246494707
633	0.1246485687
634	0.1246477312
635	0.1246459916
636	0.1246451927
637	0.1246435176
638	0.1246412368
639	0.1246361212
640	0.1246337115
641	0.1246324745
642	0.1246310829
643	0.1246301938
644	0.1246295881
645	0.1246284026
646	0.1246260832
647	0.1246248591
648	0.1246233257
649	0.124622952
650	0.1246225525
651	0.1246209934
652	0.1246200914
653	0.1246192023
654	0.1246180812
655	0.1246168184
656	0.1246089066
657	0.1246078886
658	0.1246070897
659	0.1246063037
660	0.1246037523
661	0.1246035204
662	0.1246004923
663	0.1245988815
664	0.1245966265
665	0.1245958534
666	0.1245951189
667	0.1245938304
668	0.1245927222
669	0.1245915367
670	0.1245902224
671	0.1245879931
672	0.1245869623
673	0.1245856866
674	0.1245849392
675	0.1245828646
676	0.1245826198
677	0.1245813828
678	0.1245809962
679	0.1245794886
680	0.124578651
681	0.1245771047
682	0.1245762285
683	0.1245750301
684	0.1245712933
685	0.1245700305
686	0.1245670926
687	0.1245657524
688	0.1245648247
689	0.1245636521
690	0.1245627759
691	0.1245624795
692	0.1245606626
693	0.1245599152
694	0.1245585494
695	0.1245580082
696	0.1245560109
697	0.1245534724
698	0.1245531116
699	0.1245522611
700	0.1245517844
701	0.1245496325
702	0.1245478671
703	0.1245438468
704	0.1245426355
705	0.1245418237
706	0.124540329
707	0.1245398007
708	0.1245377905
709	0.124536837
710	0.1245355097
711	0.1245345176
712	0.1245337315
713	0.1245327651
714	0.1245309224
715	0.12452917
716	0.1245285128
717	0.1245277526
718	0.1245266057
719	0.1245249564
720	0.1245237193
721	0.1245213355
722	0.1245210391
723	0.1245207041
724	0.1245199438
725	0.1245188614
726	0.1245167482
727	0.1245155498
728	0.1245139649
729	0.1245128052
730	0.124511581
731	0.1245092874
732	0.1245091972
733	0.124507754
734	0.1245070582
735	0.124506285
736	0.1245056536
737	0.1245047001
738	0.1245036177
739	0.1245028059
740	0.1245019425
741	0.124500422
742	0.1244998164
743	0.1244967883
744	0.1244930901
745	0.1244925618
746	0.1244909897
747	0.1244901908
748	0.1244894177
749	0.1244884899
750	0.1244872657
751	0.1244862993
752	0.1244860416
753	0.1244855391
754	0.1244846113
755	0.124482047
756	0.1244791607
757	0.1244772149
758	0.1244757202
759	0.1244752821
760	0.1244734652
761	0.1244717256
762	0.1244708236
763	0.1244696897
764	0.124469316
765	0.1244686588
766	0.1244668806
767	0.1244662234
768	0.1244656951
769	0.1244645741
770	0.1244629633
771	0.1244615073
772	0.124460528
773	0.1244594713
774	0.1244583632
775	0.1244577575
776	0.1244558376
777	0.1244536985
778	0.1244533893
779	0.1244525904
780	0.1244511472
781	0.124449472
782	0.1244476036
783	0.1244463666
784	0.1244455548
785	0.1244436735
786	0.1244425911
787	0.1244415989
788	0.1244404392
789	0.1244384934
790	0.1244372049
791	0.1244363802
792	0.1244354524
793	0.1244341896
794	0.1244333907
795	0.1244326304
796	0.1244316898
797	0.1244306203
798	0.1244292029
799	0.1244278627
800	0.1244269221
801	0.1244258139
802	0.1244245898
803	0.1244238038
804	0.1244231595
805	0.12442276
806	0.1244223348
807	0.1244214328
808	0.124420286
809	0.1244192938
810	0.1244179665
811	0.1244172063
812	0.1244162656
813	0.1244154925
814	0.1244139977
815	0.1244125159
816	0.1244113562
817	0.1244107892
818	0.12440923
819	0.1244080188
820	0.1244044881
821	0.1244031995
822	0.1244027099
823	0.1244009703
824	0.1243990632
825	0.1243982772
826	0.1243971948
827	0.1243957258
828	0.124393909
829	0.1243929554
830	0.1243921823
831	0.1243899659
832	0.1243886645
833	0.124388381
834	0.1243873759
835	0.1243870538
836	0.1243861002
837	0.1243852111
838	0.1243841932
839	0.1243827629
840	0.1243821315
841	0.1243809717
842	0.1243801599
843	0.1243783173
844	0.124375753
845	0.1243748897
846	0.1243740779
847	0.1243723126
848	0.1243715523
849	0.1243697483
850	0.1243683438
851	0.1243680989
852	0.1243671325
853	0.1243667717
854	0.1243657537
855	0.1243640142
856	0.12436279
857	0.1243620684
858	0.1243613468
859	0.1243602773
860	0.1243592594
861	0.1243582672
862	0.1243571461
863	0.1243568884
864	0.1243555998
865	0.1243549298
866	0.1243540793
867	0.1243533964
868	0.1243518888
869	0.1243511027
870	0.1243490926
871	0.1243485127
872	0.1243471082
873	0.1243457681
874	0.1243448403
875	0.1243434357
876	0.1243429976
877	0.1243419539
878	0.1243392479
879	0.1243381397
880	0.1243356657
881	0.1243329855
882	0.1243322639
883	0.1243316711
884	0.1243303052
885	0.1243264266
886	0.1243260014
887	0.1243251638
888	0.1243233856
889	0.124322329
890	0.1243218265
891	0.1243204219
892	0.1243190947
893	0.1243182185
894	0.1243173293
895	0.1243163629
896	0.1243142754
897	0.1243133477
898	0.1243121622
899	0.1243110927
900	0.1243106803
901	0.1243096624
902	0.1243088377
903	0.1243081419
904	0.124307562
905	0.1243066987
906	0.1243053457
907	0.1243042504
908	0.1243035674
909	0.1243029232
910	0.1243020985
911	0.1243011707
912	0.1243003331
913	0.1242997275
914	0.1242986709
915	0.1242978462
916	0.1242972535
917	0.1242952819
918	0.1242948696
919	0.1242923955
920	0.1242916224
921	0.1242910554
922	0.1242904627
923	0.1242893159
924	0.1242885685
925	0.1242880531
926	0.1242870609
927	0.1242861718
928	0.1242853342
929	0.1242840972
930	0.1242825122
931	0.1242819968
932	0.1242810948
933	0.1242791362
934	0.124278479
935	0.1242758246
936	0.1242743169
937	0.124273183
938	0.1242721393
939	0.1242716367
940	0.1242711342
941	0.1242707734
942	0.12426991
943	0.1242690596
944	0.124268338
945	0.1242675391
946	0.1242667144
947	0.1242661474
948	0.124265181
949	0.1242638795
950	0.1242621142
951	0.1242611349
952	0.1242602844
953	0.1242583645
954	0.1242577975
955	0.1242573594
956	0.1242565347
957	0.1242560966
958	0.1242549626
959	0.1242540864
960	0.1242529138
961	0.1242519732
962	0.1242509681
963	0.1242500918
964	0.1242488935
965	0.1242476951
966	0.1242469606
967	0.1242456076
968	0.124245118
969	0.1242446799
970	0.1242426697
971	0.1242413038
972	0.1242397575
973	0.1242388942
974	0.1242385592
975	0.1242373866
976	0.1242369871
977	0.1242344744
978	0.124233392
979	0.1242317297
980	0.1242309824
981	0.1242300933
982	0.1242290109
983	0.1242279542
984	0.1242272584
985	0.1242265755
986	0.1242249905
987	0.1242231865
988	0.1242224649
989	0.1242218207
990	0.1242215372
991	0.1242201455
992	0.1242195141
993	0.1242192178
994	0.1242183286
995	0.1242174782
996	0.124216602
997	0.1242156226
998	0.1242144758
999	0.1242134578
